image_name,eye,noCircles,TP,FN,FP
PICTURES/five/001Easy.jpg,0,True,0,0,0
PICTURES/five/001Easy.jpg,1,True,0,0,0
PICTURES/five/002Easy.jpg,0,True,0,0,0
PICTURES/five/002Easy.jpg,1,True,0,0,0
PICTURES/five/003Easy.jpg,0,False,61.67243670406199,38.327563295937615,22.04124404295412
PICTURES/five/003Easy.jpg,1,False,71.07358306885455,28.926416931144416,27.24551065150147
PICTURES/five/004Easy.jpg,0,False,91.05467989165277,8.945320108337624,28.327851501774404
PICTURES/five/004Easy.jpg,1,False,85.52230375908462,14.47769624090559,12.596491045184937
PICTURES/five/005Easy.jpg,0,False,93.490056734779,6.509943265217669,8.472457862082624
PICTURES/five/005Easy.jpg,1,False,96.29041369904236,3.7095863009533243,13.089235557638897
